Date,Median income,Population,Mortgage Rate,Interest Rate,property_type,price
2006-06-01,-1.4263192978041555,-1.4106109959498987,1.6364575884153407,2.2260034464144147,Townhouse,237500
2006-07-01,-1.4263192978041555,-1.358116560120112,1.7844859961101278,2.2260034464144147,Townhouse,240800
2006-08-01,-1.4263192978041555,-1.358116560120112,1.7633390807251585,2.2260034464144147,Townhouse,244200
2006-09-01,-1.4263192978041555,-1.358116560120112,1.6470310461078255,2.2260034464144147,Townhouse,246800
2006-10-01,-1.4263192978041555,-1.3011408032454383,1.5201495537980076,2.2260034464144147,Townhouse,249800
2006-11-01,-1.4263192978041555,-1.3011408032454383,1.4990026384130384,2.2260034464144147,Townhouse,251900
2006-12-01,-1.4263192978041555,-1.3011408032454383,1.3932680614881898,2.2260034464144147,Townhouse,254700
2007-01-01,-0.7919985312943648,-1.2819096795731284,1.41441497687316,2.2260034464144147,Townhouse,256700
2007-02-01,-0.7919985312943648,-1.2819096795731284,1.5095760961055231,2.2260034464144147,Townhouse,258900
2007-03-01,-0.7919985312943648,-1.2819096795731284,1.41441497687316,2.2260034464144147,Townhouse,262200
2007-04-01,-0.7919985312943648,-1.2465143103368954,1.4249884345656445,2.2260034464144147,Townhouse,264200
2007-05-01,-0.7919985312943648,-1.2465143103368954,1.5201495537980076,2.2260034464144147,Townhouse,266800
2007-06-01,-0.7919985312943648,-1.2465143103368954,2.0488224384222478,2.2260034464144147,Townhouse,269100
2007-07-01,-0.7919985312943648,-1.1930325704735703,2.143983557654611,2.4241442983312003,Townhouse,271100
2007-08-01,-0.7919985312943648,-1.1930325704735703,2.1651304730395813,2.4241442983312003,Townhouse,273300
2007-09-01,-0.7919985312943648,-1.1930325704735703,2.1545570153470965,2.4241442983312003,Townhouse,274500
2007-10-01,-0.7919985312943648,-1.134297333884392,2.239144676886975,2.4241442983312003,Townhouse,276000
2007-11-01,-0.7919985312943648,-1.134297333884392,2.2814385076569144,2.4241442983312003,Townhouse,277800
2007-12-01,-0.7919985312943648,-1.134297333884392,2.3025854230418834,2.2260034464144147,Townhouse,279900
2008-01-01,-0.5592891376635521,-1.109176162201435,2.366026169196792,2.0278625944976287,Townhouse,281500
2008-02-01,-0.5592891376635521,-1.109176162201435,2.2708650499644287,2.0278625944976287,Townhouse,282100
2008-03-01,-0.5592891376635521,-1.109176162201435,2.143983557654611,1.6315808906640576,Townhouse,282700
2008-04-01,-0.5592891376635521,-1.0690957755091937,1.9325144038049156,1.2352991868304863,Townhouse,282900
2008-05-01,-0.5592891376635521,-1.0690957755091937,1.7316187076477039,1.2352991868304863,Townhouse,282200
2008-06-01,-0.5592891376635521,-1.0690957755091937,1.7210452499552193,1.2352991868304863,Townhouse,280900
2008-07-01,-0.5592891376635521,-1.0067896161207956,1.900794030727461,1.2352991868304863,Townhouse,279500
2008-08-01,-0.5592891376635521,-1.0067896161207956,1.7739125384176433,1.2352991868304863,Townhouse,277700
2008-09-01,-0.5592891376635521,-1.0067896161207956,1.6787514191852801,1.2352991868304863,Townhouse,276200
2008-10-01,-0.5592891376635521,-0.9414820524704312,1.995955149959824,0.6408766310801295,Townhouse,273800
2008-11-01,-0.5592891376635521,-0.9414820524704312,2.0488224384222478,0.6408766310801295,Townhouse,271200
2008-12-01,-0.5592891376635521,-0.9414820524704312,1.6893248768777647,0.04645407532977262,Townhouse,265500
2009-01-01,-0.4541945727980259,-0.9130185968170795,1.2769600268708576,-0.3498276285037986,Townhouse,264400
